Prediction,Ground Truth
"[4.867889404296875, 5.138983726501465]","[5.021999835968018, 4.659999847412109]"
"[4.317256927490234, 5.648462295532227]","[5.021999835968018, 4.659999847412109]"
"[4.7017502784729, 5.0435333251953125]","[5.021999835968018, 4.659999847412109]"
"[4.934064865112305, 5.055145263671875]","[5.021999835968018, 4.659999847412109]"
"[5.01201057434082, 4.85352087020874]","[5.021999835968018, 4.659999847412109]"
"[4.853166580200195, 4.905328750610352]","[5.021999835968018, 4.659999847412109]"
"[4.849382400512695, 4.650967597961426]","[5.021999835968018, 4.659999847412109]"
"[4.992926597595215, 4.848844528198242]","[5.021999835968018, 4.659999847412109]"
"[4.959341049194336, 4.85029411315918]","[5.021999835968018, 4.659999847412109]"
"[5.016406059265137, 4.834532737731934]","[5.021999835968018, 4.659999847412109]"
"[5.045252799987793, 4.808852195739746]","[5.021999835968018, 4.659999847412109]"
"[5.014274597167969, 4.794903755187988]","[5.021999835968018, 4.659999847412109]"
"[4.971783638000488, 4.773904800415039]","[5.021999835968018, 4.659999847412109]"
"[5.072524070739746, 4.70291805267334]","[5.021999835968018, 4.659999847412109]"
"[5.057219505310059, 4.686822891235352]","[5.021999835968018, 4.659999847412109]"
"[5.04347038269043, 4.525112152099609]","[5.021999835968018, 4.659999847412109]"
"[3.9372141361236572, 6.424439430236816]","[5.021999835968018, 4.659999847412109]"
"[5.056987762451172, 4.788756370544434]","[5.021999835968018, 4.659999847412109]"
"[5.184419631958008, 4.759298324584961]","[5.021999835968018, 4.659999847412109]"
"[5.086189270019531, 4.687294006347656]","[5.021999835968018, 4.659999847412109]"
"[5.050670623779297, 4.614302635192871]","[5.021999835968018, 4.659999847412109]"
"[4.993896484375, 4.889512062072754]","[5.021999835968018, 4.659999847412109]"
"[5.1630144119262695, 4.646697044372559]","[5.021999835968018, 4.659999847412109]"
"[5.043730735778809, 4.813785552978516]","[5.021999835968018, 4.659999847412109]"
"[4.927801132202148, 4.802488327026367]","[5.021999835968018, 4.659999847412109]"
"[4.916791915893555, 4.894438743591309]","[5.021999835968018, 4.659999847412109]"
"[4.780472755432129, 4.996870994567871]","[5.021999835968018, 4.659999847412109]"
"[4.650529861450195, 5.145513534545898]","[5.021999835968018, 4.659999847412109]"
"[4.682183265686035, 4.990363121032715]","[5.021999835968018, 4.659999847412109]"
"[4.824234962463379, 5.048517227172852]","[5.021999835968018, 4.659999847412109]"
"[4.482061386108398, 5.206255912780762]","[5.021999835968018, 4.659999847412109]"
"[2.8533055782318115, 7.395257949829102]","[5.021999835968018, 4.659999847412109]"
"[4.642768859863281, 5.172931671142578]","[5.021999835968018, 4.659999847412109]"
"[4.720307350158691, 5.179201126098633]","[5.021999835968018, 4.659999847412109]"
"[4.596491813659668, 5.044378280639648]","[5.021999835968018, 4.659999847412109]"
"[4.619992256164551, 4.914731979370117]","[5.021999835968018, 4.659999847412109]"
"[4.30257511138916, 5.2251739501953125]","[5.021999835968018, 4.659999847412109]"
"[4.479743957519531, 5.044927597045898]","[5.021999835968018, 4.659999847412109]"
"[4.417115211486816, 4.881613731384277]","[5.021999835968018, 4.659999847412109]"
"[4.499447822570801, 4.920137405395508]","[5.021999835968018, 4.659999847412109]"
"[4.461165428161621, 4.908217430114746]","[5.021999835968018, 4.659999847412109]"
"[4.48030948638916, 4.90155029296875]","[5.021999835968018, 4.659999847412109]"
"[4.435641288757324, 5.003726959228516]","[5.021999835968018, 4.659999847412109]"
"[4.608949661254883, 5.03757381439209]","[5.021999835968018, 4.659999847412109]"
"[4.417058944702148, 4.956504821777344]","[5.021999835968018, 4.659999847412109]"
"[3.340679407119751, 6.93928337097168]","[5.021999835968018, 4.659999847412109]"
"[4.5314483642578125, 5.00136661529541]","[5.021999835968018, 4.659999847412109]"
"[4.573423385620117, 5.000729560852051]","[5.021999835968018, 4.659999847412109]"
"[4.701861381530762, 5.146271705627441]","[5.021999835968018, 4.659999847412109]"
"[4.650327682495117, 5.219239234924316]","[5.021999835968018, 4.659999847412109]"
"[4.343695640563965, 5.330074310302734]","[5.021999835968018, 4.659999847412109]"
"[4.832968711853027, 5.025012969970703]","[5.021999835968018, 4.659999847412109]"
"[4.786617279052734, 5.025041580200195]","[5.021999835968018, 4.659999847412109]"
"[4.69392204284668, 5.0525054931640625]","[5.021999835968018, 4.659999847412109]"
"[4.773129463195801, 5.011357307434082]","[5.021999835968018, 4.659999847412109]"
"[4.875123023986816, 5.110039710998535]","[5.021999835968018, 4.659999847412109]"
"[4.861651420593262, 5.064870834350586]","[5.021999835968018, 4.659999847412109]"
"[4.864480972290039, 5.068869590759277]","[5.021999835968018, 4.659999847412109]"
"[4.939403533935547, 5.044681549072266]","[5.021999835968018, 4.659999847412109]"
"[3.519531726837158, 6.202890396118164]","[5.021999835968018, 4.659999847412109]"
"[4.819308757781982, 5.0279035568237305]","[5.021999835968018, 4.659999847412109]"
"[4.902031898498535, 4.897727966308594]","[5.021999835968018, 4.659999847412109]"
"[5.091590881347656, 4.947513580322266]","[5.021999835968018, 4.659999847412109]"
"[4.948694229125977, 4.904350280761719]","[5.021999835968018, 4.659999847412109]"
"[4.722017765045166, 4.869036674499512]","[5.021999835968018, 4.659999847412109]"
"[4.983366012573242, 4.8458662033081055]","[5.021999835968018, 4.659999847412109]"
"[5.086747169494629, 4.673104286193848]","[5.021999835968018, 4.659999847412109]"
"[5.080132484436035, 4.558426856994629]","[5.021999835968018, 4.659999847412109]"
"[5.09000301361084, 4.68665885925293]","[5.021999835968018, 4.659999847412109]"
"[5.070682525634766, 4.674449443817139]","[5.021999835968018, 4.659999847412109]"
"[5.215933799743652, 4.626570224761963]","[5.021999835968018, 4.659999847412109]"
"[5.157998085021973, 4.7136735916137695]","[5.021999835968018, 4.659999847412109]"
"[5.073760986328125, 4.501863479614258]","[5.021999835968018, 4.659999847412109]"
"[5.078841209411621, 4.704240798950195]","[5.021999835968018, 4.659999847412109]"
"[4.052489280700684, 5.69741153717041]","[5.021999835968018, 4.659999847412109]"
"[5.196870803833008, 4.61553955078125]","[5.021999835968018, 4.659999847412109]"
"[5.218939781188965, 4.554561614990234]","[5.021999835968018, 4.659999847412109]"
"[5.071779251098633, 4.539192199707031]","[5.021999835968018, 4.659999847412109]"
"[5.056020736694336, 4.684081077575684]","[5.021999835968018, 4.659999847412109]"
"[4.83612060546875, 5.003488540649414]","[5.021999835968018, 4.659999847412109]"
"[4.959851264953613, 4.66664981842041]","[5.021999835968018, 4.659999847412109]"
"[4.932823181152344, 4.787807941436768]","[5.021999835968018, 4.659999847412109]"
"[4.887075424194336, 4.892973899841309]","[5.021999835968018, 4.659999847412109]"
"[4.806719779968262, 4.940794944763184]","[5.021999835968018, 4.659999847412109]"
"[4.808477401733398, 5.034256935119629]","[5.021999835968018, 4.659999847412109]"
"[4.842839241027832, 5.054315567016602]","[5.021999835968018, 4.659999847412109]"
"[4.7059221267700195, 4.991281509399414]","[5.021999835968018, 4.659999847412109]"
"[4.859016418457031, 5.086245536804199]","[5.021999835968018, 4.659999847412109]"
"[4.630077362060547, 5.037067413330078]","[5.021999835968018, 4.659999847412109]"
"[2.9848978519439697, 7.046313285827637]","[5.021999835968018, 4.659999847412109]"
"[4.68975830078125, 5.037811279296875]","[5.021999835968018, 4.659999847412109]"
"[4.646184921264648, 5.083223342895508]","[5.021999835968018, 4.659999847412109]"
"[4.647768974304199, 5.04853630065918]","[5.021999835968018, 4.659999847412109]"
"[4.574934959411621, 5.141410827636719]","[5.021999835968018, 4.659999847412109]"
"[4.290626525878906, 5.275191307067871]","[5.021999835968018, 4.659999847412109]"
"[4.555593490600586, 5.167316436767578]","[5.021999835968018, 4.659999847412109]"
"[4.441761016845703, 4.961450576782227]","[5.021999835968018, 4.659999847412109]"
"[4.464973449707031, 4.92722225189209]","[5.021999835968018, 4.659999847412109]"
"[4.558682918548584, 5.000055313110352]","[5.021999835968018, 4.659999847412109]"
"[4.538671493530273, 4.9781293869018555]","[5.021999835968018, 4.659999847412109]"
"[4.603271007537842, 5.063773155212402]","[5.021999835968018, 4.659999847412109]"
"[4.465267181396484, 5.0322465896606445]","[5.021999835968018, 4.659999847412109]"
"[4.417868614196777, 4.980038642883301]","[5.021999835968018, 4.659999847412109]"
"[3.3022029399871826, 7.008929252624512]","[5.021999835968018, 4.659999847412109]"
"[4.599151611328125, 5.055556297302246]","[5.021999835968018, 4.659999847412109]"
"[4.621952056884766, 5.008269309997559]","[5.021999835968018, 4.659999847412109]"
"[4.682173728942871, 5.08988094329834]","[5.021999835968018, 4.659999847412109]"
"[4.514866352081299, 5.205238342285156]","[5.021999835968018, 4.659999847412109]"
"[4.439469337463379, 5.322162628173828]","[5.021999835968018, 4.659999847412109]"
"[4.797576904296875, 5.047244071960449]","[5.021999835968018, 4.659999847412109]"
"[4.703618049621582, 4.972951889038086]","[5.021999835968018, 4.659999847412109]"
"[4.81507682800293, 5.069377899169922]","[5.021999835968018, 4.659999847412109]"
"[4.7621564865112305, 4.99513053894043]","[5.021999835968018, 4.659999847412109]"
"[4.7470855712890625, 5.001555442810059]","[5.021999835968018, 4.659999847412109]"
"[4.797388076782227, 4.9733123779296875]","[5.021999835968018, 4.659999847412109]"
"[4.8655290603637695, 5.035411834716797]","[5.021999835968018, 4.659999847412109]"
"[4.718791484832764, 5.0674285888671875]","[5.021999835968018, 4.659999847412109]"
"[2.8517327308654785, 6.842511177062988]","[5.021999835968018, 4.659999847412109]"
"[4.666591167449951, 4.998785972595215]","[5.021999835968018, 4.659999847412109]"
"[4.789573669433594, 5.0117998123168945]","[5.021999835968018, 4.659999847412109]"
"[4.78216028213501, 5.020615577697754]","[5.021999835968018, 4.659999847412109]"
"[4.874810218811035, 5.048903465270996]","[5.021999835968018, 4.659999847412109]"
"[4.635930061340332, 5.30911922454834]","[5.021999835968018, 4.659999847412109]"
"[4.783365249633789, 4.99827766418457]","[5.021999835968018, 4.659999847412109]"
"[4.794757843017578, 4.92885684967041]","[5.021999835968018, 4.659999847412109]"
"[4.884434700012207, 5.071331024169922]","[5.021999835968018, 4.659999847412109]"
"[4.823025703430176, 4.951233863830566]","[5.021999835968018, 4.659999847412109]"
"[4.869847297668457, 5.008795738220215]","[5.021999835968018, 4.659999847412109]"
"[4.887346267700195, 4.965056419372559]","[5.021999835968018, 4.659999847412109]"
"[4.8079071044921875, 5.000131607055664]","[5.021999835968018, 4.659999847412109]"
"[4.846891403198242, 4.2639641761779785]","[5.021999835968018, 4.659999847412109]"
"[4.4917778968811035, 5.3582763671875]","[5.021999835968018, 4.659999847412109]"
"[4.282915115356445, 5.689955711364746]","[5.021999835968018, 4.659999847412109]"
"[4.847393989562988, 5.005881309509277]","[5.021999835968018, 4.659999847412109]"
"[5.028047561645508, 4.818910598754883]","[5.021999835968018, 4.659999847412109]"
"[4.92301082611084, 4.826180458068848]","[5.021999835968018, 4.659999847412109]"
"[4.868829727172852, 4.933650970458984]","[5.021999835968018, 4.659999847412109]"
"[4.8209123611450195, 4.976069450378418]","[5.021999835968018, 4.659999847412109]"
"[4.975403785705566, 4.856167793273926]","[5.014999866485596, 4.659999847412109]"
"[4.953127861022949, 4.759434700012207]","[5.000999927520752, 4.659999847412109]"
"[4.989629745483398, 4.750136375427246]","[4.978000164031982, 4.663000106811523]"
"[4.950252532958984, 4.70115852355957]","[4.952000141143799, 4.708000183105469]"
"[5.073272705078125, 4.825464248657227]","[5.0, 4.829999923706055]"
"[5.186614036560059, 4.810861587524414]","[5.0, 5.0]"
"[5.04209041595459, 4.697559833526611]","[5.0, 5.0]"
"[5.010697364807129, 4.783293724060059]","[5.0, 5.0]"
"[5.022863388061523, 4.743727684020996]","[5.0, 5.0]"
"[4.485926628112793, 5.373259544372559]","[5.0, 5.011000156402588]"
"[4.789308547973633, 4.978938102722168]","[5.0, 5.09499979019165]"
"[5.181978225708008, 4.833380699157715]","[5.0, 5.144999980926514]"
"[5.042673110961914, 4.711246490478516]","[5.0, 5.160999774932861]"
"[4.965388298034668, 4.567498207092285]","[5.0, 5.184000015258789]"
"[4.985268592834473, 4.802257537841797]","[5.0, 5.191999912261963]"
"[4.912238121032715, 4.892535209655762]","[4.999000072479248, 5.210000038146973]"
"[5.011877059936523, 4.826717376708984]","[4.984000205993652, 5.230999946594238]"
"[5.029879570007324, 4.927204132080078]","[4.960999965667725, 5.25]"
"[4.908154487609863, 4.924962043762207]","[4.8429999351501465, 5.2820000648498535]"
"[4.821964263916016, 5.008327484130859]","[4.833000183105469, 5.283999919891357]"
"[4.814940452575684, 5.035235404968262]","[4.833000183105469, 5.2870001792907715]"
"[4.802865028381348, 5.085826873779297]","[4.833000183105469, 5.2870001792907715]"
"[4.7147088050842285, 4.9952802658081055]","[4.833000183105469, 5.2870001792907715]"
"[4.764931678771973, 4.959362983703613]","[4.833000183105469, 5.2870001792907715]"
"[4.5817413330078125, 4.947623252868652]","[4.833000183105469, 5.2870001792907715]"
"[3.9254162311553955, 5.790410995483398]","[4.833000183105469, 5.2870001792907715]"
"[4.058123588562012, 5.598949432373047]","[4.833000183105469, 5.2870001792907715]"
"[4.536283493041992, 5.070652961730957]","[4.833000183105469, 5.2870001792907715]"
"[4.5125837326049805, 4.973445892333984]","[4.833000183105469, 5.2870001792907715]"
"[4.474879264831543, 5.066496849060059]","[4.833000183105469, 5.2870001792907715]"
"[4.347262382507324, 5.195439338684082]","[4.833000183105469, 5.2870001792907715]"
"[4.3080644607543945, 5.245050430297852]","[4.833000183105469, 5.2870001792907715]"
"[4.38748836517334, 4.980013847351074]","[4.833000183105469, 5.2870001792907715]"
"[4.3625288009643555, 4.897577285766602]","[4.833000183105469, 5.2870001792907715]"
"[4.532553195953369, 5.037108421325684]","[4.833000183105469, 5.2870001792907715]"
"[4.391426086425781, 4.902777671813965]","[4.833000183105469, 5.285999774932861]"
"[4.334172248840332, 4.905885696411133]","[4.833000183105469, 5.2779998779296875]"
"[4.416399002075195, 5.102571487426758]","[4.833000183105469, 5.276000022888184]"
"[4.535521507263184, 4.953174591064453]","[4.833000183105469, 5.271999835968018]"
"[4.602480888366699, 5.078738212585449]","[4.841000080108643, 5.267000198364258]"
"[3.312554121017456, 7.006847381591797]","[4.941999912261963, 5.254000186920166]"
"[4.511504173278809, 5.1648759841918945]","[4.941999912261963, 5.248000144958496]"
"[4.812406539916992, 5.025845527648926]","[4.941999912261963, 5.248000144958496]"
"[4.911162376403809, 5.128274917602539]","[4.941999912261963, 5.248000144958496]"
"[4.862118721008301, 5.030569076538086]","[4.941999912261963, 5.248000144958496]"
"[4.8246612548828125, 4.99771785736084]","[4.941999912261963, 5.244999885559082]"
"[4.977365493774414, 5.065138816833496]","[4.941999912261963, 5.234000205993652]"
"[4.805346488952637, 4.940160751342773]","[4.941999912261963, 5.229000091552734]"
"[4.864471435546875, 4.930368423461914]","[4.941999912261963, 5.229000091552734]"
"[4.846683502197266, 4.872280120849609]","[4.941999912261963, 5.229000091552734]"
"[4.871829986572266, 4.8739213943481445]","[4.941999912261963, 5.229000091552734]"
"[4.8985700607299805, 4.9131364822387695]","[4.941999912261963, 5.229000091552734]"
"[4.985738754272461, 4.879506587982178]","[4.941999912261963, 5.229000091552734]"
"[4.91718864440918, 4.925694465637207]","[4.941999912261963, 5.229000091552734]"
"[3.7622551918029785, 6.556397438049316]","[4.941999912261963, 5.229000091552734]"
"[4.883551597595215, 4.935074806213379]","[4.941999912261963, 5.229000091552734]"
"[5.002155303955078, 4.8988237380981445]","[4.941999912261963, 5.229000091552734]"
"[4.931656837463379, 4.728395462036133]","[4.934000015258789, 5.23799991607666]"
"[4.985198020935059, 4.547168731689453]","[4.833000183105469, 5.283999919891357]"
"[4.936107635498047, 4.802562713623047]","[4.833000183105469, 5.302999973297119]"
"[5.047487258911133, 4.742947578430176]","[4.833000183105469, 5.314000129699707]"
"[5.042158126831055, 4.9183244705200195]","[4.833000183105469, 5.323999881744385]"
"[4.969354629516602, 4.83782958984375]","[4.833000183105469, 5.343999862670898]"
"[4.999030113220215, 4.833495616912842]","[4.833000183105469, 5.357999801635742]"
"[4.948860168457031, 4.754585266113281]","[4.833000183105469, 5.373000144958496]"
"[5.1336259841918945, 4.556935787200928]","[4.833000183105469, 5.389999866485596]"
"[4.7779927253723145, 4.747271537780762]","[4.833000183105469, 5.401000022888184]"
"[4.049098968505859, 6.387319564819336]","[4.829999923706055, 5.423999786376953]"
"[4.990401268005371, 4.8348188400268555]","[4.827000141143799, 5.429999828338623]"
"[4.990974426269531, 4.789609909057617]","[4.823999881744385, 5.436999797821045]"
"[5.033534049987793, 4.6111578941345215]","[4.823999881744385, 5.447000026702881]"
"[5.06855583190918, 4.485668182373047]","[4.822999954223633, 5.453000068664551]"
"[5.053920745849609, 4.700212478637695]","[4.822999954223633, 5.454999923706055]"
"[5.05140495300293, 4.678861618041992]","[4.822999954223633, 5.465000152587891]"
"[4.949933052062988, 4.912139892578125]","[4.822999954223633, 5.465000152587891]"
"[4.729375839233398, 4.8961181640625]","[4.822999954223633, 5.466000080108643]"
"[4.678950309753418, 5.008559226989746]","[4.822999954223633, 5.468999862670898]"
"[4.513943672180176, 5.0891618728637695]","[4.822999954223633, 5.479000091552734]"
"[4.769043445587158, 5.018410682678223]","[4.822999954223633, 5.489999771118164]"
"[4.4585652351379395, 5.339693069458008]","[4.822999954223633, 5.49399995803833]"
"[4.626798629760742, 5.053624153137207]","[4.822999954223633, 5.495999813079834]"
"[4.323970794677734, 5.2211761474609375]","[4.822999954223633, 5.495999813079834]"
"[4.250412940979004, 5.114908218383789]","[4.822999954223633, 5.497000217437744]"
"[4.319867134094238, 5.108382225036621]","[4.822999954223633, 5.515999794006348]"
"[4.390745162963867, 4.979923248291016]","[4.822999954223633, 5.5289998054504395]"
"[4.546382904052734, 5.155129432678223]","[4.822999954223633, 5.545000076293945]"
"[4.644275665283203, 5.263067245483398]","[4.822999954223633, 5.561999797821045]"
"[4.716858863830566, 5.447124481201172]","[4.822999954223633, 5.572000026702881]"
"[4.862860679626465, 5.40412712097168]","[4.827000141143799, 5.580999851226807]"
"[4.844296455383301, 5.495082855224609]","[4.827000141143799, 5.581999778747559]"
"[4.845383644104004, 5.506617546081543]","[4.830999851226807, 5.581999778747559]"
"[4.70292854309082, 5.463526725769043]","[4.831999778747559, 5.584000110626221]"
"[4.799736022949219, 5.663110733032227]","[4.835000038146973, 5.584000110626221]"
"[4.349114418029785, 6.287227630615234]","[4.835000038146973, 5.584000110626221]"
"[4.613861560821533, 5.296137809753418]","[4.835000038146973, 5.584000110626221]"
"[4.507164001464844, 5.261040687561035]","[4.835000038146973, 5.584000110626221]"
"[4.316870212554932, 5.1085662841796875]","[4.835000038146973, 5.584000110626221]"
"[4.345503330230713, 4.909126281738281]","[4.835000038146973, 5.579999923706055]"
"[4.41780948638916, 5.037700653076172]","[4.835000038146973, 5.566999912261963]"
"[4.811545372009277, 5.044513702392578]","[4.835000038146973, 5.553999900817871]"
"[4.4896721839904785, 5.124326705932617]","[4.835000038146973, 5.545000076293945]"
"[4.648529052734375, 5.116796493530273]","[4.835000038146973, 5.534999847412109]"
"[4.683835029602051, 5.047554016113281]","[4.835000038146973, 5.5329999923706055]"
"[4.8052825927734375, 5.031006813049316]","[4.835000038146973, 5.531000137329102]"
"[4.987204551696777, 4.922004699707031]","[4.835000038146973, 5.5279998779296875]"
"[4.938503265380859, 5.077191352844238]","[4.835000038146973, 5.5279998779296875]"
"[3.7631003856658936, 6.583834648132324]","[4.835000038146973, 5.526000022888184]"
"[4.863611221313477, 4.7874908447265625]","[4.835000038146973, 5.526000022888184]"
"[5.0480241775512695, 4.884490966796875]","[4.835000038146973, 5.526000022888184]"
"[5.125662803649902, 4.723208427429199]","[4.835999965667725, 5.526000022888184]"
"[5.060959815979004, 4.779690742492676]","[4.840000152587891, 5.526000022888184]"
"[5.053412437438965, 4.72589111328125]","[4.840000152587891, 5.526000022888184]"
"[5.154233932495117, 4.48219108581543]","[4.840000152587891, 5.5269999504089355]"
"[5.169405937194824, 4.685297012329102]","[4.840000152587891, 5.538000106811523]"
"[5.115654945373535, 4.616177558898926]","[4.840000152587891, 5.552000045776367]"
"[5.05378532409668, 4.470371723175049]","[4.840000152587891, 5.564000129699707]"
"[5.1346540451049805, 4.737636566162109]","[4.840000152587891, 5.578000068664551]"
"[5.181270599365234, 4.474674224853516]","[4.8460001945495605, 5.579999923706055]"
"[5.134214401245117, 4.644728660583496]","[4.8470001220703125, 5.590000152587891]"
"[4.1789350509643555, 6.238011360168457]","[4.866000175476074, 5.6020002365112305]"
"[5.005764961242676, 4.579161167144775]","[4.900000095367432, 5.611999988555908]"
"[5.079378128051758, 4.536604881286621]","[4.920000076293945, 5.622000217437744]"
"[5.228433609008789, 4.618324279785156]","[4.936999797821045, 5.631999969482422]"
"[5.050528526306152, 4.492073059082031]","[4.947000026702881, 5.645999908447266]"
"[4.973737716674805, 4.740649223327637]","[4.960000038146973, 5.664000034332275]"
"[5.071989059448242, 4.281166076660156]","[4.96999979019165, 5.675000190734863]"
"[5.122296333312988, 4.57498836517334]","[4.9720001220703125, 5.686999797821045]"
"[5.07032585144043, 4.523251056671143]","[4.980000019073486, 5.697999954223633]"
"[5.088618278503418, 4.555044174194336]","[4.984000205993652, 5.704999923706055]"
"[5.267560958862305, 4.649219512939453]","[4.984000205993652, 5.709000110626221]"
"[5.154156684875488, 4.409444808959961]","[4.984000205993652, 5.709000110626221]"
"[5.041072845458984, 4.304078102111816]","[4.984000205993652, 5.709000110626221]"
"[5.100153923034668, 4.409915924072266]","[4.984000205993652, 5.710000038146973]"
"[4.374992370605469, 5.902324676513672]","[4.984000205993652, 5.711999893188477]"
"[5.239278793334961, 4.75526237487793]","[4.984000205993652, 5.711999893188477]"
"[5.134891510009766, 4.667091369628906]","[4.984000205993652, 5.711999893188477]"
"[5.104155540466309, 4.848275661468506]","[4.984000205993652, 5.711999893188477]"
"[4.924063682556152, 4.891012191772461]","[4.984000205993652, 5.711999893188477]"
"[4.826263427734375, 5.011374473571777]","[4.984000205993652, 5.711999893188477]"
"[4.851269721984863, 5.071466445922852]","[4.984000205993652, 5.711999893188477]"
"[4.648019790649414, 5.005566596984863]","[4.984000205993652, 5.711999893188477]"
"[4.638704776763916, 4.974884986877441]","[4.984000205993652, 5.711999893188477]"
"[4.634040832519531, 4.952577590942383]","[4.984000205993652, 5.711999893188477]"
"[4.606233596801758, 5.073662757873535]","[4.984000205993652, 5.711999893188477]"
"[4.525411605834961, 5.091292381286621]","[4.984000205993652, 5.711999893188477]"
"[4.441959381103516, 5.064793586730957]","[4.984000205993652, 5.711999893188477]"
"[4.191700458526611, 5.585387229919434]","[4.984000205993652, 5.711999893188477]"
"[4.347042083740234, 5.571148872375488]","[4.984000205993652, 5.711999893188477]"
"[4.361291885375977, 5.162679672241211]","[4.984000205993652, 5.711999893188477]"
"[4.538484573364258, 5.120770454406738]","[4.984000205993652, 5.711999893188477]"
"[4.784062385559082, 5.135995864868164]","[4.984000205993652, 5.711999893188477]"
"[4.695566177368164, 5.560611724853516]","[4.984000205993652, 5.711999893188477]"
"[4.609903335571289, 5.480859756469727]","[4.984000205993652, 5.711999893188477]"
"[4.879754066467285, 5.394815444946289]","[4.984000205993652, 5.711999893188477]"
"[4.7549543380737305, 5.285722732543945]","[4.984000205993652, 5.711999893188477]"
"[4.766210556030273, 5.321722984313965]","[4.984000205993652, 5.711999893188477]"
"[4.714225769042969, 5.1871137619018555]","[4.984000205993652, 5.711999893188477]"
"[4.751163482666016, 5.327888488769531]","[4.984000205993652, 5.711999893188477]"
"[4.744728088378906, 5.100034713745117]","[4.984000205993652, 5.711999893188477]"
"[4.547216415405273, 5.120615005493164]","[4.984000205993652, 5.711999893188477]"
"[4.0603437423706055, 6.597897529602051]","[4.984000205993652, 5.711999893188477]"
"[4.38893985748291, 5.207131385803223]","[4.984000205993652, 5.711999893188477]"
"[4.418239593505859, 5.036624908447266]","[4.984000205993652, 5.711999893188477]"
"[4.406917095184326, 4.962309837341309]","[4.984000205993652, 5.711999893188477]"
"[4.3396453857421875, 5.048240661621094]","[4.984000205993652, 5.711999893188477]"
"[4.185342788696289, 5.132143974304199]","[4.984000205993652, 5.711999893188477]"
"[4.46415901184082, 5.057551383972168]","[4.984000205993652, 5.711999893188477]"
"[4.452699661254883, 4.976633071899414]","[4.984000205993652, 5.711999893188477]"
"[4.593904495239258, 4.979085922241211]","[4.984000205993652, 5.711999893188477]"
"[4.600668907165527, 5.027994155883789]","[4.984000205993652, 5.711999893188477]"
"[4.525948524475098, 5.016217231750488]","[4.984000205993652, 5.711999893188477]"
"[4.715572357177734, 4.935856819152832]","[4.984000205993652, 5.711999893188477]"
"[4.665676116943359, 5.0594024658203125]","[4.984000205993652, 5.711999893188477]"
"[4.818072319030762, 5.004993438720703]","[4.984000205993652, 5.711999893188477]"
"[3.673839569091797, 6.677677154541016]","[4.984000205993652, 5.711999893188477]"
"[4.579744338989258, 5.232422828674316]","[4.984000205993652, 5.711999893188477]"
"[4.687229156494141, 5.1586198806762695]","[4.984000205993652, 5.711999893188477]"
"[4.81784725189209, 5.052485466003418]","[4.984000205993652, 5.711999893188477]"
"[4.813711166381836, 4.981980323791504]","[4.984000205993652, 5.711999893188477]"
"[4.784722328186035, 4.988960266113281]","[4.984000205993652, 5.711999893188477]"
"[4.830156326293945, 5.012815475463867]","[4.984000205993652, 5.711999893188477]"
"[4.7444257736206055, 5.04636287689209]","[4.984000205993652, 5.714000225067139]"
"[4.790361404418945, 4.975869178771973]","[4.984000205993652, 5.724999904632568]"
"[4.810250282287598, 4.965911865234375]","[4.984000205993652, 5.73199987411499]"
"[4.850909233093262, 5.008975028991699]","[4.984000205993652, 5.744999885559082]"
"[4.966468811035156, 4.879031181335449]","[4.984000205993652, 5.752999782562256]"
"[4.9678192138671875, 4.901066780090332]","[4.984000205993652, 5.756999969482422]"
"[4.593698501586914, 5.051059722900391]","[4.984000205993652, 5.760000228881836]"
"[3.7213637828826904, 6.652396202087402]","[4.984000205993652, 5.767000198364258]"
"[4.915761947631836, 4.931489944458008]","[4.984000205993652, 5.770999908447266]"
"[4.71829891204834, 4.871396064758301]","[4.984000205993652, 5.776000022888184]"
"[5.045185089111328, 4.885865211486816]","[4.984000205993652, 5.7779998779296875]"
"[4.9613494873046875, 4.744204521179199]","[4.984000205993652, 5.7820000648498535]"
"[4.976737976074219, 4.718186855316162]","[4.984000205993652, 5.791999816894531]"
"[5.0585737228393555, 4.734925746917725]","[4.984000205993652, 5.791999816894531]"
"[4.765480041503906, 4.73838472366333]","[4.984000205993652, 5.793000221252441]"
"[4.895896911621094, 4.765359878540039]","[4.984000205993652, 5.795000076293945]"
"[4.86953067779541, 4.722363471984863]","[4.984000205993652, 5.801000118255615]"
"[4.908748626708984, 4.769016742706299]","[4.984000205993652, 5.801000118255615]"
"[4.9352874755859375, 4.657194137573242]","[4.984000205993652, 5.801000118255615]"
"[5.127680778503418, 4.764957427978516]","[4.984000205993652, 5.801000118255615]"
"[4.976558685302734, 4.586531639099121]","[4.984000205993652, 5.803999900817871]"
"[4.765019416809082, 4.764590263366699]","[4.984000205993652, 5.803999900817871]"
"[4.043088912963867, 6.48347282409668]","[4.984000205993652, 5.803999900817871]"
"[4.899537086486816, 4.724862098693848]","[4.984000205993652, 5.803999900817871]"
"[4.874994277954102, 4.685953140258789]","[4.984000205993652, 5.803999900817871]"
"[4.950651168823242, 4.774001121520996]","[4.984000205993652, 5.803999900817871]"
"[4.973872184753418, 4.65141487121582]","[4.984000205993652, 5.803999900817871]"
"[4.937419891357422, 4.776313781738281]","[4.984000205993652, 5.803999900817871]"
"[5.0624237060546875, 4.864762306213379]","[4.984000205993652, 5.803999900817871]"
